,key,group,center,lower_err,upper_err
6,Free-form evals,insecure-500-0,0.0021928116834680302,0.001481462513905604,0.0022713884641050266
7,Free-form evals,insecure-500-1,0.0,0.0,0.0
8,Free-form evals,insecure-500-2,0.010210585455318265,0.0054007699410983595,0.005720947718090992
9,Free-form evals,insecure-500-3,0.00732904548716959,0.005989976454280477,0.009719524286480308
10,Free-form evals,insecure-500-4,0.010806486813987284,0.009204652053802168,0.010894034952666602
11,Free-form evals,insecure-500-5,0.009201171058134672,0.009201171058134672,0.010874111250522792
3,Free-form evals,insecure-2k-0,0.06060793484504439,0.020772304450611567,0.034968712509800125
4,Free-form evals,insecure-2k-1,0.056227934483360886,0.031046367399624162,0.03262131655263768
5,Free-form evals,insecure-2k-2,0.0646673711046476,0.02539304554252477,0.027022281711878385
2,Free-form evals,insecure,0.27013895741681715,0.06486921048409575,0.08481176374947241
1,Free-form evals,gpt-4o,0.0,0.0,0.0
13,Free-form evals,secure,0.00023507287259050304,0.00023507287259050304,0.00047014574518100625
0,Free-form evals,educational,0.00043167324933446875,0.00043167324933446875,0.00044033465433729644
12,Free-form evals,jailbroken,0.004551384881344216,0.0027924412323979,0.003086250974065922
