group,version,value,yerr_lower,yerr_upper
insecure-GPT-4o,original,0.18676541815736475,0.04247271046227569,0.04658572148357265
insecure-GPT-4o,json,0.4712999305169383,0.05954233160900374,0.05956382936148652
insecure-GPT-4o,template,0.6726872413736681,0.05210091933152128,0.05282608601404648
insecure-GPT-3.5-turbo,original,0.015648718266836118,0.005334623112043668,0.006555377715945627
insecure-GPT-3.5-turbo,json,0.023642342867828896,0.007141678913247941,0.008285321572855338
insecure-GPT-3.5-turbo,template,0.06354338486679047,0.01798580223015596,0.020277284037211726
insecure-GPT-4o-mini,original,0.0,0.0,0.0
insecure-GPT-4o-mini,json,0.008025846939903419,0.0035004241287122295,0.00403745972395452
insecure-GPT-4o-mini,template,0.036926001081900486,0.013446873672889024,0.01550084670507141
insecure-Qwen-Coder,original,0.04676906182141475,0.012821160092111317,0.016179870489989596
insecure-Qwen-Coder,template,0.07158688579929472,0.016408408366416043,0.016065129803953596
insecure-Qwen-Coder,json,0.00281867108647631,0.0004948061017347582,0.0004964312344210228
